Table Name,State Code,District Code,Area Name,Total/Rural/Urban,Educational Level,Non-Workers - Persons,Non-Workers - Males,Non-Workers - Females,Main Activity Students - Persons,Main Activity Students - Males,Main Activity Students - Females,Main Activity Household Duties - Persons,Main Activity Household Duties - Males,Main Activity Household Duties - Females,Main Activity Dependents - Persons,Main Activity Dependents - Males,Main Activity Dependents - Females,Main Activity Pensioners - Persons,Main Activity Pensioners - Males,Main Activity Pensioners - Females,Main Activity Rentiers - Persons,Main Activity Rentiers - Males,Main Activity Rentiers - Females,"Main Activity Beggars, Vagrants etc. - Persons","Main Activity Beggars, Vagrants etc. - Males","Main Activity Beggars, Vagrants etc. - Females",Main Activity Others - Persons,Main Activity Others - Males,Main Activity Others - Females
B0515,1,0,State - Jammu & Kashmir,Rural,Literate but below Matric/Secondary,2063220,997869,1065351,1654954,896199,758755,232314,13671,218643,51038,27059,23979,20748,18435,2313,210,166,44,241,207,34,103715,42132,61583
B0515,1,0,State - Jammu & Kashmir,Rural,Matric/Secondary but below Graduate,695948,333827,362121,454117,257526,196591,110389,6048,104341,15518,7815,7703,19619,18233,1386,206,177,29,61,58,3,96038,43970,52068
B0515,1,0,State - Jammu & Kashmir,Rural,Technical Diploma or Certificate not equal to Degree,6972,4343,2629,4528,3047,1481,563,50,513,140,98,42,181,165,16,2,2,0,0,0,0,1558,981,577
B0515,1,0,State - Jammu & Kashmir,Rural,Graduate and above other than Technical Degree,84590,45206,39384,42322,25088,17234,9084,671,8413,1417,759,658,3760,3535,225,36,32,4,13,8,5,27958,15113,12845
B0515,1,0,State - Jammu & Kashmir,Rural,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,22479,13001,9478,10446,6386,4060,1605,148,1457,370,200,170,1619,1520,99,21,20,1,2,1,1,8416,4726,3690
B0515,1,0,State - Jammu & Kashmir,Urban,Total,2223610,883101,1340509,945127,499403,445724,511497,17686,493811,485548,230492,255056,57542,45150,12392,1773,1161,612,819,479,340,221304,88730,132574
B0515,1,0,State - Jammu & Kashmir,Urban,Illiterate,863427,312149,551278,143322,74956,68366,235052,9094,225958,425726,206716,219010,8674,4894,3780,603,353,250,684,387,297,49366,15749,33617
B0515,1,0,State - Jammu & Kashmir,Urban,Literate,1360183,570952,789231,801805,424447,377358,276445,8592,267853,59822,23776,36046,48868,40256,8612,1170,808,362,135,92,43,171938,72981,98957
B0515,1,0,State - Jammu & Kashmir,Urban,Literate but below Matric/Secondary,682521,307546,374975,498229,267106,231123,106225,3666,102559,28487,11844,16643,10314,8136,2178,398,260,138,77,58,19,38791,16476,22315
B0515,1,0,State - Jammu & Kashmir,Urban,Matric/Secondary but below Graduate,438535,170403,268132,229278,119071,110207,110375,2980,107395,17012,6269,10743,18553,15586,2967,393,273,120,32,18,14,62892,26206,36686
B0515,1,0,State - Jammu & Kashmir,Urban,Technical Diploma or Certificate not equal to Degree,18921,8934,9987,9499,5368,4131,3334,102,3232,826,313,513,1066,962,104,18,12,6,1,0,1,4177,2177,2000
B0515,1,0,State - Jammu & Kashmir,Urban,Graduate and above other than Technical Degree,137735,49702,88033,39433,18783,20650,35769,939,34830,5553,1881,3672,12329,10227,2102,214,166,48,5,4,1,44432,17702,26730
B0515,1,0,State - Jammu & Kashmir,Urban,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,40179,18202,21977,15146,7485,7661,5603,239,5364,1120,445,675,4774,3957,817,66,49,17,1,0,1,13469,6027,7442
B0515,2,0,State - Himachal Pradesh,Total,Total,3305180,1438500,1866680,1587613,844163,743450,545588,24470,521118,810809,390860,419949,151225,96975,54250,1973,1055,918,709,451,258,207263,80526,126737
B0515,2,0,State - Himachal Pradesh,Total,Illiterate,1152932,489842,663090,195990,103684,92306,141224,7306,133918,746329,357635,388694,47353,14690,32663,601,232,369,528,304,224,20907,5991,14916
B0515,2,0,State - Himachal Pradesh,Total,Literate,2152248,948658,1203590,1391623,740479,651144,404364,17164,387200,64480,33225,31255,103872,82285,21587,1372,823,549,181,147,34,186356,74535,111821
B0515,2,0,State - Himachal Pradesh,Total,Literate but below Matric/Secondary,1287899,597133,690766,975971,522355,453616,186036,8004,178032,39379,21068,18311,38596,27492,11104,601,311,290,113,93,20,47203,17810,29393
